metric,formula_idx,mae,formula_mae,formula,params
compute_load_avg,1,0.8118534921821304,0.005217325080138136,c[0]*x1*x4,[0.007028236310725494]
compute_load_avg,2,0.02824617449452947,0.004346626538439301,c[0]*x1+c[1]*x2,"[0.010833743526357985, -0.0006513874177170607]"
compute_load_avg,3,0.045293861991669813,0.004320467309126134,c[0]*x1+c[1]*x2+c[2]*x4,"[0.010023585136584646, -0.0006609337072201203, 0.0008352930266121172]"
compute_load_avg,4,0.019196779603111648,0.00431819762963449,c[0]*x1*x2+c[1]*x3,"[-0.000549814350443855, 0.0013103990810864107]"
compute_load_avg,5,0.3630597304605579,0.004257586047378345,c[0]*x1**2+c[1]*x2**2+c[2],"[-0.022754469384520457, 2.5905515306988503e-05, 0.02705535816240841]"
avg_V2U_rate,1,29382.954142933217,1.1796119239338179,c[0]*x1**2+c[1]*x3**2,"[0.08008191962958788, 4149.387614086232]"
avg_V2U_rate,2,0.783685469553627,0.783685469553627,c[0]*x1*x2,[0.07984957892464038]
avg_V2U_rate,3,0.37323288665485355,0.37323288665485355,c[0]*x1+c[1]*x2**2,"[0.2187384785147523, 0.03787749347538549]"
avg_V2U_rate,4,0.3732327125253581,0.3732327125253581,c[0]*x1+c[1]*x2,"[0.21872853475909831, 0.27249185415112454]"
avg_V2U_rate,5,0.30910243758015926,0.30910243758015926,c[0]*log(x1)+c[1]*x2,"[0.8875687537695773, 0.24260693122888272]"
task_success_ratio,1,1.4276051914186156,0.2566692008711095,c[0]*x1**2,[0.11290546772071386]
task_success_ratio,2,31.662120780388722,0.2443214984814902,c[0]*x1**2+c[1]*x2**2+c[2]*x3,"[0.10812476672894661, -0.004695751054565572, 12.332548922928076]"
task_success_ratio,3,1.6362751882961013,0.015008978634124249,c[0]*x2*x3+c[1],"[0.09044706929540208, 0.940959825020371]"
task_success_ratio,4,2.2057456023262634,,c[0]*x1/x2+c[1]*x3,"[1.0, 1.0]"
uav_density,1,2.718904428167074,,c[0]*log(x2)+c[1]*x3,"[1.0, 1.0]"
uav_density,2,1519.65085910365,1.1907490223891224,c[0]*x1*x3,[148.2962116642884]
uav_density,3,1633.8961701941616,5.622413785338105e-08,c[0]*x1+c[1]*x2+c[2]*x3,"[-5.3633351862547855e-08, -6.740363960298657e-06, 655.5326571867422]"
uav_density,4,0.00031953518765881483,1.0289971323997485e-09,c[0]*x2**2+c[1],"[-6.174574968526101e-06, 7.1937737030634015]"
uav_density,5,423014.39935393736,2.332729565068803e-10,c[0]*x1+c[1]*x3**2,"[1.5276222228970135e-10, 59735.41077447528]"
