time,task_success_ratio,vehicle_count,uav_count,avg_V2U_rate,avg_V2I_rate,avg_U2I_rate,compute_load_avg,vehicle_density,uav_density,junction_0_vehicle_count,junction_1_vehicle_count,junction_2_vehicle_count
1.0,0.8333333333333334,3,50,0.0,0.0,0.0,0.010000000000000002,0.43162642209897994,7.193773701649665,0,0,0
2.0,0.8,3,50,0.0,0.0,3.873908636265237,0.015000000000000003,0.43162642209897994,7.193773701649665,0,0,0
3.0,0.851063829787234,4,50,0.0,0.0,2.5826057575101573,0.012500000000000002,0.5755018961319731,7.193773701649665,0,0,0
4.0,0.8666666666666667,8,50,0.0,0.0,2.7534278701183323,0.008846153846153847,1.1510037922639462,7.193773701649665,1,0,0
5.0,0.926829268292683,8,50,0.4428584697105171,0.21541619804093382,2.6276018719689254,0.0,1.1510037922639462,7.193773701649665,1,0,0
6.0,0.8823529411764706,8,50,2.01880324807911,0.353603172360108,2.189668226640772,0.009375000000000001,1.1510037922639462,7.193773701649665,1,0,0
7.0,0.9166666666666666,9,50,1.730402784067809,0.30308843345152126,2.621347198894215,0.0030303030303030307,1.2948792662969397,7.193773701649665,1,0,0
8.0,0.9064748201438849,9,50,1.7753752675981582,0.7860163543424256,2.2936787990324388,0.011764705882352943,1.2948792662969397,7.193773701649665,1,0,0
9.0,0.9086021505376344,10,50,2.289439100874964,0.8104616138581724,2.2794277020148836,0.006372549019607844,1.438754740329933,7.193773701649665,1,0,0
10.0,0.9303482587064676,10,50,2.2749510999714087,0.7294154524723553,3.0688689363774224,0.0,1.438754740329933,7.193773701649665,1,0,0
11.0,0.9198113207547169,11,50,2.068137363610372,1.3565223586234667,2.7898808512522026,0.012222222222222225,1.5826302143629263,7.193773701649665,1,1,0
12.0,0.9336283185840708,11,50,2.615517532050851,1.243478828738178,2.557390780314519,0.01064814814814815,1.5826302143629263,7.193773701649665,1,1,0
13.0,0.9074733096085409,12,50,2.4975844542382637,1.3181649780270452,2.688646820074633,0.02864864864864865,1.7265056883959198,7.193773701649665,1,1,0
14.0,0.9228187919463087,13,50,2.465554821510251,1.2240103367393993,3.4059424938036034,0.011842105263157899,1.8703811624289128,7.193773701649665,1,1,0
15.0,0.9345794392523364,14,50,2.3011845000762343,1.8288947626210004,3.9779274121744597,0.0025641025641025645,2.0142566364619063,7.193773701649665,1,1,0
16.0,0.9327485380116959,15,50,2.15736046882147,2.2119400931042037,4.18488734318236,0.009333333333333334,2.1581321104948996,7.193773701649665,1,1,0
